voice day 1;voice day 2;voice day 3;voice day 4;voice day 5;voice day 6
535;318;416;455;352;491
10;110;50;62;75;35
491;595;336;337;497;565
1;0;0;0;0;0
93;78;54;77;35;117
5;4;2;1;1;6
102;42;46;157;89;37
1;0;1;0;0;0
375;368;579;526;380;393
267;406;273;351;357;226
11;15;26;6;9;5
776;888;596;831;799;1303
1;1;1;1;1;1
0;6;1;6;0;4
1;2;3;1;3;5
0;28;5;2;1;8
174;241;276;222;121;147
136;26;0;94;15;9
153;235;73;269;156;143
15;9;5;4;3;25
0;0;0;2;0;0
264;195;135;116;248;139
43;43;42;33;38;3
12;70;83;50;111;105
1405;1782;2261;2367;2292;1653
5;17;10;32;37;26
1;2;7;5;6;17
1;1;1;1;1;1
2;7;1;2;3;8
1;1;2;1;1;1
43;0;1;15;52;1628
0;1;1;0;1;2
2;2;5;1;1;3
79;8;3;240;4;35
16;14;16;5;9;27
513;602;612;742;551;749
0;0;1;0;4;1
5;14;16;6;6;6
1728;1646;1252;1702;1825;1234
39;39;46;11;14;49
0;1;0;0;1;1
117;129;131;145;127;92
278;136;220;508;325;291
23;6;4;11;17;13
13;7;13;18;14;29
78;55;153;40;61;95
220;390;398;418;311;259
20;16;12;5;14;10
237;221;205;244;395;171
23;35;11;66;78;23
5;13;6;3;9;36
177;178;185;96;99;115
2;108;1;0;1;1
1;0;1;1;4;1
131;44;108;22;80;73
31;152;50;156;81;146
17;14;21;28;8;14
534;308;327;487;247;424
7;9;8;14;6;11
7;23;1;0;1;16
5;0;10;0;1;1
189;155;136;111;176;247
7;1;1;1;6;2
3;36;55;10;40;9
25;23;21;22;18;31
2;1;14;27;221;0
92;95;128;96;77;39
0;2;1;41;23;176
25;40;15;24;32;23
24;48;92;24;1;42
55;91;61;39;38;95
1;1;1;1;1;1
12;27;2;8;4;6
70;55;93;38;32;73
44;116;79;80;82;46
2;0;0;0;3;2
2;9;8;1;10;11
0;0;1;0;0;1
184;214;105;131;179;218
123;94;64;57;114;92
555;402;326;577;403;377
32;53;26;28;29;30
25;58;47;44;96;104
79;83;38;148;43;31
107;212;166;245;182;149
401;195;288;311;192;176
286;124;62;1216;129;93
219;162;139;63;192;200
5;7;2;8;13;16
394;443;400;349;234;371
7;26;40;17;65;40
140;488;405;199;496;240
1;0;0;0;1;2
1;1;1;1;1;1
246;303;245;117;217;152
10;38;3;8;7;17
1;1;4;0;4;2
1;1;2;5;2;1
620;499;784;762;571;836
75;150;85;73;142;171
49;23;21;27;29;29
0;3;6;5;1;1
135;166;214;234;87;228
48;58;34;27;32;37
387;313;282;388;495;428
0;0;4;1;2;0
0;4;0;1;54;0
3;1;2;1;7;4
0;0;4;0;0;0
18;0;0;11;13;6
263;364;342;431;234;227
1225;1323;692;1057;999;1291
2;2;2;2;3;1
8;3;15;15;3;0
0;2;1;0;1;0
3;24;14;9;10;4
131;119;280;214;161;138
22;19;23;15;9;18
1;1;1;1;1;1
2397;2048;1676;1546;1484;2118
139;61;49;72;161;39
1;0;0;1;0;1
0;1;4;0;3;0
528;613;524;588;790;523
231;381;319;517;209;572
1324;1263;867;971;1166;1228
28;12;61;27;10;46
52;31;51;28;22;19
1;1;1;1;1;1
0;0;17;6;0;0
336;339;441;590;412;276
4;25;12;18;42;9
4;17;6;22;8;12
5;7;7;13;2;15
82;8;82;164;60;69
6;4;0;0;3;0
1;0;1;17;2;1
31;34;25;19;6;11
32;41;31;19;21;32
461;459;459;425;347;589
147;101;58;17;37;127
69;47;54;40;42;14
9;75;38;22;59;16
100;22;50;114;131;101
0;1;1;0;0;0
815;497;445;750;554;658
14;12;12;12;8;23
1;1;1;1;1;1
43;74;96;43;47;64
31;65;93;53;59;33
1;0;1;0;5;0
30;32;28;30;1;25
5;16;9;17;19;16
160;91;124;190;60;101
1;1;1;1;1;1
203;117;109;170;147;170
1394;1653;1373;1803;1357;1981
94;62;53;59;130;10
348;257;427;530;501;482
2;2;3;2;1;7
8;12;1;0;0;1
5;2;5;3;2;3
66;34;24;67;46;31
192;262;186;318;119;277
410;56;80;44;105;67
1;6;1;5;1;0
1;1;1;2;1;1
4;331;493;412;1739;286
2;6;9;10;1;10
28;22;13;17;37;16
65;56;38;40;57;53
63;161;217;47;186;186
6;15;3;11;21;8
117;17;24;18;11;0
31;26;81;62;60;26
5;19;22;1;2;4
62;87;93;127;103;128
268;367;321;605;467;352
200;86;197;109;58;215
620;992;508;656;469;606
66;58;38;39;85;34
191;110;140;45;40;90
212;251;296;298;247;135
405;562;349;463;423;447
6;2;7;16;6;15
5;1;4;3;4;3
165;253;208;252;47;86
89;33;0;10;118;17
1104;1345;998;978;627;703
468;215;350;92;388;348
273;92;271;273;371;295
117;108;119;125;93;45
1177;201;209;253;225;196
2;1;4;5;1;0
56;29;77;57;44;73
0;1;1;8;0;0
40;22;47;17;39;20
7;26;138;61;138;2
1;2;0;2;0;0
316;102;86;173;156;112
77;9;42;23;40;81
0;1;0;1;1;1
20;1;15;5;1;74
160;201;234;101;249;226
70;107;73;143;49;118
3;85;47;64;31;22
15;5;3;10;19;14
0;0;1;0;0;0
7;4;6;6;19;11
6;4;11;12;22;805
75;61;52;68;52;76
41;43;64;26;33;65
3;0;1;0;0;1
5;5;9;4;2;15
5;10;4;1;4;6
229;184;324;210;330;341
33;15;14;37;19;18
26;19;24;9;26;7
1;1;1;1;1;1
1;6;5;5;12;12
1;1;1;1;1;1
23;26;18;22;17;7
3;2;1;1;1;2
3;3;2;1;0;2
1624;1186;1693;1553;1245;1112
1;0;1;0;1;1
1;1;2;2;1;1
31;8;25;27;39;27
31;39;38;26;32;48
8;13;27;6;2;7
2;2;2;2;2;2
0;1;1;2;1;1
78;87;65;256;57;56
65;71;51;44;73;77
14;0;4;2;63;46
5;4;4;3;2;6
48;81;41;90;46;41
12;19;6;16;18;17
60;123;69;44;276;98
2;2;2;2;1;1
2;4;1;2;5;5
85;82;81;104;103;29
8;35;197;1;1;62
175;0;22;6;190;18
5;14;21;7;27;69
0;4;0;6;2;18
139;61;136;139;114;61
2;2;2;1;1;1
1632;1365;2395;1516;1384;2028
686;616;401;440;480;722
99;58;189;120;227;91
134;115;14;63;147;61
233;105;151;124;153;311
3;2;3;2;2;4
333;215;101;255;169;33
197;166;109;126;118;154
6;5;0;4;8;5
5;4;6;7;5;4
1;7;13;2;0;0
394;368;332;339;520;77
0;17;0;13;0;7
927;683;813;747;765;834
19;0;51;54;25;14
116;171;183;136;86;214
96;63;16;55;47;16
557;613;517;331;262;354
150;91;227;160;109;111
3;3;4;3;14;1
113;189;156;145;146;250
54;55;31;14;31;40
42;32;29;110;48;32
1009;978;878;1060;587;799
3;2;2;39;26;4
8;18;15;8;19;1
16;23;31;15;10;47
147;82;253;160;60;136
1121;1072;1189;1285;1345;1287
14;55;18;0;1;2
1;1;1;0;1;0
0;6;0;1;2;16
93;150;109;67;52;119
0;17;1;14;27;0
5;13;1;3;1;3
8;3;11;4;3;10
362;331;790;510;709;636
72;195;211;248;245;157
8;9;19;6;3;16
155;184;69;74;161;158
8;20;3;11;22;10
8;8;22;20;4;1
1;1;1;0;0;2
81;74;61;23;54;61
604;622;619;641;443;428
45;39;31;8;27;32
1;3;1;1;0;0
7;5;5;3;2;30
89;95;198;140;99;192
304;489;589;655;371;450
77;135;175;140;71;128
54;43;68;86;25;89
6;10;21;6;6;6
15;66;92;42;93;65
6;37;38;17;8;7
4;0;8;6;8;9
503;472;432;279;473;310
74;60;58;31;17;29
17;19;0;11;7;0
1144;797;804;1011;869;4411
517;924;849;667;803;813
36;41;21;21;26;2
7;6;3;11;2;19
1;1;0;1;0;1
87;137;54;33;35;48
129;67;95;159;120;109
372;383;160;262;382;391
56;113;1099;144;76;36
171;154;143;185;292;249
785;608;641;660;746;625
298;362;302;319;120;157
0;25;14;26;4;21
3;5;2;2;3;1
182;133;110;106;104;119
733;1318;764;973;1266;958
561;788;382;363;393;393
14;15;5;9;4;6
1;3;0;0;7;1
220;88;114;216;228;156
19;54;19;11;38;7
1;0;1;0;1;0
178;72;59;133;60;64
34;42;29;29;15;30
31;60;14;35;55;31
1;1;0;0;2;1
120;160;134;72;114;223
2;2;0;0;0;0
0;0;1;0;3;0
10;15;34;28;44;41
1;1;1;1;1;1
6;1;1;3;6;1
0;1;1;1;1;1
1;1;0;2;2;0
2;6;1;1;1;2
23;4;9;8;23;13
5;3;0;1;5;4
0;0;1;3;1;1
1;2;1;1;1;1
1;0;0;1;0;0
0;1;1;0;1;1
2;2;5;5;9;8
57;107;39;76;56;39
404;106;91;130;120;322
1;0;0;0;2;5
573;539;679;307;541;551
4;6;3;2;1;4
744;1089;1111;768;880;606
406;605;449;369;616;403
13;15;4;33;6;5
136;60;120;149;61;157
0;2;8;11;0;2
31;73;16;61;124;23
27;8;3;7;5;9
431;220;439;331;441;308
81;80;84;124;94;74
780;529;874;1021;856;653
69;119;169;202;166;223
3;4;2;3;0;2
240;387;135;388;267;381
432;190;124;1284;340;359
752;485;570;699;452;908
16;7;7;18;5;9
1;2;11;9;28;16
10;9;8;6;10;4
150;497;257;159;189;249
11;50;10;33;8;7
12;33;1;39;21;5
3;9;5;18;6;10
1;2;14;1;0;14
9;13;26;13;44;47
0;2;7;11;4;13
45;77;71;110;52;143
0;0;0;0;1;0
45;0;11;56;27;7
8;16;34;23;9;3
19;1;8;32;0;12
325;292;238;437;272;155
1;9;1;3;8;0
7;4;15;14;6;13
8;27;27;9;10;4
903;575;572;245;370;276
16;13;32;31;33;21
0;3;79;4;34;21
30;6;18;16;25;20
1;1;1;2;1;0
1910;1376;1656;2006;1532;1617
2;8;10;11;6;6
6;12;17;19;22;9
441;482;400;324;238;262
3;0;0;0;0;0
2;2;3;2;2;4
54;41;38;37;42;25
0;0;2;3;1;9
22;48;47;30;42;28
0;35;0;30;26;10
231;309;134;117;267;113
35;18;8;51;58;39
0;0;0;0;1;0
54;56;84;84;101;64
0;0;2;0;0;2
11;12;7;6;13;19
288;184;3231;213;122;236
1;0;0;1;0;1
0;1;3;2;8;1
23;11;7;9;11;6
75;20;29;96;50;39
26;0;43;57;48;48
86;122;49;79;51;70
16;7;2;17;8;7
0;0;1;0;0;0
36;27;30;23;10;27
2402;1703;1785;1607;2218;1889
5;5;7;3;13;16
62;54;45;104;101;44
96;274;130;123;137;134
1075;938;1145;905;657;982
1;2;1;5;1;4
6;1;2;1;1;6
101;46;69;48;81;92
13;18;25;25;8;10
387;340;151;395;636;233
1;2;2;1;2;2
7;13;1;7;4;18
5;27;18;27;23;2
1;3;3;6;3;2
63;145;54;14;60;51
0;0;1;0;3;0
0;1;0;0;0;3
0;1;1;0;1;1
234;152;268;152;323;144
3;8;67;0;27;32
1;1;1;1;1;2
1240;917;1254;940;846;1071
20;23;10;34;32;34
69;36;41;3;60;15
1;3;5;2;6;5
0;3;0;1;1;0
100;51;139;111;95;109
179;131;166;2542;79;142
0;1;0;1;2;1
215;188;352;404;324;255
0;2;3;12;1;38
5;17;16;17;10;7
3;0;13;3;10;3
21;9;15;3;4;2
25;21;7;43;34;49
5;4;10;4;1;4
1;2;3;0;0;6
165;151;109;65;195;191
403;324;415;260;366;271
78;102;248;132;136;108
160;219;87;203;237;57
1;1;1;1;1;1
133;122;44;75;71;126
2;20;1;0;0;3
612;694;692;559;603;846
61;24;26;6;26;32
1;1;1;1;1;1
2;0;1;1;1;1
15;20;11;35;14;26
101;101;44;79;56;30
223;171;80;122;190;89
6;0;0;2;1;1
8;13;4;1;16;2
11;4;1;4;4;3
2;4;4;11;4;2
28;76;8;14;36;28
41;33;21;41;30;23
10;45;18;62;51;73
88;75;52;58;32;48
7;98;138;48;76;41
1298;1255;1241;1269;1242;1185
146;64;97;101;128;92
11;1;26;54;34;138
87;20;31;59;31;60
5;9;4;1;2;11
248;99;147;169;308;149
0;2;0;0;0;1
0;3;1;4;1;2
7;7;1;13;5;9
23;35;43;40;32;40
0;0;1;3;1;0
1;141;0;1;0;1
0;2;2;0;0;0
1;1;1;1;1;1
8;8;4;14;7;14
7;5;3;6;2;30
62;19;17;27;52;66
22;62;68;24;2;17
1;1;0;1;5;1
1114;722;913;856;394;827
1139;951;1269;775;926;1127
62;162;51;38;113;75
3;22;24;25;29;26
17;17;23;51;12;22
2;2;2;0;0;0
61;39;42;36;38;17
1;40;43;21;26;13
1;3;2;2;2;2
0;0;0;0;1;1
170;186;65;92;104;62
2;0;4;4;3;2
4;2;4;4;3;2
1;1;0;0;1;0
52;24;25;21;11;28
229;91;55;268;166;73
6;1;0;1;6;0
5;8;2;3;6;1
124;167;66;90;119;74
7;6;2;4;9;4
89;82;258;92;149;200
630;671;574;750;761;516
1218;1308;1284;1009;1245;1177
31;20;11;24;23;12
2;2;3;1;1;1
46;20;43;51;32;24
185;134;190;113;126;103
379;297;378;230;464;396
545;563;9;566;437;299
0;1;0;0;0;0
2;1;2;5;24;8
61;4;45;44;52;15
267;433;227;281;305;257
32;5;14;1;18;3
32;38;39;20;35;67
194;130;257;361;215;317
501;813;688;514;935;619
17;83;37;62;15;62
92;239;147;368;87;147
362;454;665;462;499;377
0;0;3;0;0;0
966;810;717;713;866;1042
459;660;577;394;620;126
44;30;102;30;44;40
471;182;633;359;203;249
1;0;0;2;6;8
2;11;3;7;5;6
24;1;13;20;31;18
130;102;76;38;102;169
101;70;150;117;165;159
1;0;0;1;1;0
1;1;1;1;1;1
346;188;269;447;304;268
183;462;396;415;307;309
130;231;124;99;96;185
69;80;48;146;105;103
1819;1435;1834;1635;1342;1722
137;101;147;217;106;113
557;762;796;548;463;455
187;86;194;36;100;94
195;414;382;221;763;291
37;55;110;152;82;72
47;53;13;94;30;74
27;73;3;40;14;13
667;1072;889;893;1078;1002
37;72;54;57;112;62
317;241;312;256;354;84
63;23;29;38;53;55
107;88;27;174;75;78
118;43;50;36;27;54
4;2;3;2;1;2
712;493;626;566;919;671
0;7;0;3;0;0
12;3;1;13;1;0
1;7;9;20;2;12
158;92;63;152;25;145
1;4;1;30;3;2
16;8;9;7;5;12
38;27;49;45;7;10
399;233;302;232;268;336
435;161;406;354;692;317
451;836;586;746;607;526
271;134;186;198;174;145
0;0;2;3;0;1
680;769;708;532;677;570
27;45;27;35;62;24
14;42;36;25;31;31
5;17;15;4;11;9
315;203;218;383;404;181
136;81;88;158;95;222
263;137;168;103;48;192
16;17;21;23;3;12
19;31;15;12;37;12
423;431;494;359;216;250
266;287;178;319;342;143
1763;1649;3364;1911;1419;1925
3;1;4;4;4;5
187;262;312;186;235;319
386;371;242;302;237;219
89;170;191;124;226;131
158;54;118;147;60;74
1;1;1;1;1;1
6;8;1;7;2;1
112;125;185;91;168;96
11;17;11;16;17;7
1;1;0;1;1;1
67;40;95;75;81;25
35;37;22;67;27;10
1;1;2;1;1;2
82;29;16;153;45;53
777;887;1097;822;826;822
377;252;128;257;518;286
20;10;5;12;4;23
553;523;593;866;522;567
3;2;6;1;3;3
68;0;123;37;0;41
136;188;183;342;167;79
4;1;1;2;2;2
1;0;0;0;2;0
242;76;116;77;231;138
103;207;50;125;93;69
1;0;1;0;0;0
3;5;2;0;28;3
2;0;5;1;2;2
292;204;117;188;288;322
95;37;104;109;34;149
116;75;167;255;246;219
103;132;194;238;175;82
1;1;3;0;0;4
154;110;136;136;346;185
5;39;35;25;25;5
8;5;10;28;38;15
61;135;94;106;132;120
7;9;41;15;12;24
0;1;1;1;1;2
3;35;179;4;228;555
3;12;1;5;1;5
3;7;21;1;5;2
55;42;76;61;48;68
128;140;367;257;271;259
1;1;1;1;1;1
0;10;9;107;85;13
1;1;1;1;1;1
126;236;304;148;181;236
203;147;125;62;179;79
5;1;5;2;8;0
447;732;218;339;259;305
76;41;21;45;13;35
19;37;29;19;11;22
17;32;50;43;31;71
113;187;135;74;173;180
26;95;112;49;86;47
280;310;217;380;182;360
83;19;55;56;37;52
0;0;1;0;2;1
410;567;325;561;594;494
958;982;672;698;617;417
11;26;54;31;40;57
351;248;121;116;129;244
2;5;3;0;103;0
3;22;14;11;13;8
2;1;3;2;2;2
224;202;287;134;297;436
1;1;2;1;1;7
1102;1557;1215;830;1855;1280
36;179;49;4;53;234
71;102;41;31;122;94
4;17;78;47;25;67
0;1;0;2;0;0
114;237;141;128;348;358
0;1;1;1;0;1
0;1;0;0;0;1
133;175;88;180;243;133
187;253;408;440;331;217
174;208;92;123;160;250
1;5;8;1;3;1
232;296;317;382;146;136
9;7;14;9;10;15
11;9;41;19;58;66
251;99;258;174;309;64
34;96;75;20;110;93
62;100;141;94;171;94
129;141;15;62;83;99
677;402;332;436;266;627
125;367;254;300;344;225
22;21;38;35;56;36
591;474;357;419;625;576
1;10;2;1;3;2
32;11;70;45;40;124
1;1;1;1;1;1
956;1517;1663;1322;1002;1431
55;21;61;94;5;69
170;130;94;377;168;142
53;66;0;58;25;8
1;4;0;1;0;0
12;5;2;14;3;9
383;286;145;479;115;246
136;97;53;28;228;159
62;259;300;140;167;145
0;2;3;11;6;4
5;6;6;7;3;5
1;1;1;1;1;1
1;17;19;27;23;17
113;302;241;190;215;102
10;10;6;7;5;1
1169;1545;1522;1796;1510;1618
2;55;0;28;21;74
319;254;84;109;245;295
11;32;22;4;35;57
14;43;66;23;17;4
4;13;7;9;16;22
45;0;46;38;39;1
89;6;6;0;5;3
1;2;1;2;1;2
618;736;565;703;353;924
4;5;2;4;5;4
5;4;2;3;3;3
103;73;60;93;45;79
1;1;2;1;2;1
546;343;395;582;277;378
252;60;109;73;103;88
170;197;189;240;167;408
21;17;60;5;16;17
0;17;1;7;0;1
37;39;18;7;2;41
1;1;1;1;1;1
466;125;475;423;445;268
370;99;234;192;199;359
410;341;464;309;668;482
2;5;3;1;1;5
63;47;40;27;38;98
8;8;4;4;3;5
42;77;109;87;68;77
1323;2439;1859;1382;1842;1942
0;58;11;12;34;2
8;10;5;4;29;10
5;8;4;8;5;12
0;0;0;1;0;1
0;1;1;0;1;2
36;21;37;45;54;49
189;176;228;124;196;191
7;1;10;6;3;10
2;4;5;13;15;0
15;10;33;61;110;79
1;1;0;0;2;0
193;253;239;182;209;153
3563;3701;3953;3015;4134;3298
0;0;0;0;0;2
3;3;2;2;2;4
8;51;8;22;47;5
0;4;15;18;11;9
60;32;42;37;20;37
20;3;16;7;7;6
176;129;160;220;212;140
1;2;1;1;1;0
9;26;2;2;0;3
29;59;44;49;28;80
736;731;1154;1090;1067;976
0;3;5;2;4;5
4;0;0;0;2;4
10;1;0;1;0;1
1245;658;693;990;1625;853
2;3;3;2;3;3
338;199;299;304;409;339
9;13;1;11;22;10
229;406;144;198;133;285
3;1;0;0;26;4
0;0;41;11;87;59
334;249;200;265;259;163
74;125;96;159;65;79
101;116;62;97;108;176
11;16;5;10;8;11
26;45;35;8;26;5
1;1;4;3;5;2
92;157;257;114;71;104
9;19;19;6;8;16
6;2;2;0;1;0
409;561;186;320;218;734
100;25;49;32;28;64
41;26;23;21;16;73
948;595;904;684;1037;769
228;219;175;319;126;428
409;555;559;435;316;391
2;1;3;5;5;6
20;28;3;14;30;1
212;463;330;456;227;146
3;0;1;7;0;4
1;2;1;4;3;2
7;78;1113;3;4;45
122;55;62;71;68;95
1;21;2;23;37;10
27;14;20;46;8;25
10;15;23;8;11;0
24;33;59;50;33;10
69;124;45;82;131;106
184;489;150;207;165;182
1;1;0;2;0;0
4;3;3;6;1;9
0;0;5;0;0;0
591;452;475;367;305;288
0;3;3;4;1;1
292;200;321;438;230;365
3;17;11;13;9;12
118;69;51;85;12;65
21;6;16;1;0;2
22;46;4;56;34;3
99;226;150;145;90;46
374;232;178;159;206;400
501;502;427;373;597;480
1;1;1;1;1;0
100;78;185;33;86;52
185;89;153;159;163;125
1;1;5;11;11;16
14;7;25;0;8;0
666;366;209;349;386;401
3;3;8;9;2;3
997;1388;952;1300;1573;1383
5;2;2;3;3;1
1;1;1;1;1;1
1;1;1;1;1;1
316;188;371;502;416;804
3;3;2;0;1;0
78;35;94;45;79;80
206;90;170;195;186;278
794;601;655;727;642;705
364;494;410;328;174;330
105;187;159;105;122;61
9;20;4;10;36;27
463;314;199;382;381;273
341;258;126;212;274;361
4;7;4;2;3;1
19;0;1;4;5;262
1373;1248;1567;1282;1128;1353
7;11;5;0;9;8
19;45;55;25;12;5
50;46;21;9;61;61
20;9;11;47;49;51
1;1;0;0;24;1
15;32;27;15;18;15
654;525;533;861;778;833
905;1064;1003;976;1206;876
48;15;65;29;86;94
62;34;1328;85;51;80
8;11;1;8;0;12
32;38;17;7;6;24
55;28;23;66;36;51
23;62;24;14;27;16
0;0;1;0;0;21
8;10;27;45;5;1
43;41;22;1;32;36
107;94;94;82;92;51
46;34;29;52;90;73
122;183;163;272;66;178
500;261;408;435;212;406
1;2;1;2;2;2
156;239;151;267;323;173
71;80;95;76;90;51
9;0;7;1;6;19
1881;1914;1556;2044;1674;2099
10;9;2;13;3;12
0;1;1;0;0;1
3332;2933;4175;2536;3027;3586
5;0;0;0;2;2
0;1;1;1;1;0
11;2;15;19;44;20
4;15;0;1;13;1
6;2;2;19;20;20
38;105;188;68;163;158
1;1;1;1;1;1
17;43;1;26;34;31
9;75;49;102;39;34
44;3;92;72;150;48
3;0;1;0;0;963
36;87;100;126;38;71
35;26;21;35;18;42
753;824;733;900;979;744
374;460;514;443;469;493
3;1;0;0;1;0
1;4;1;10;3;12
7;12;1;25;11;88
9;10;23;42;17;7
95;25;30;26;74;90
3;9;14;13;8;7
1145;1081;1098;719;678;868
121;92;147;68;120;24
37;15;7;22;21;11
17;35;54;25;34;16
91;164;82;128;44;233
15;5;5;6;12;2
2;1;0;16;0;2
2;1;3;0;3;3
211;75;164;69;86;44
2;0;0;1;0;0
51;94;31;14;43;27
776;655;532;623;756;963
1;1;1;0;1;1
2;0;1;4;13;4
94;136;138;170;109;162
2;2;5;7;4;1
1;1;1;1;1;1
0;1;0;1;1;1
60;95;30;75;10;31
90;101;79;89;110;123
0;0;0;0;3;3
77;0;1;1;1;0
22;2;80;30;4;26
2;3;0;2;4;116
0;0;0;0;2;1
2;2;1;1;1;1
1862;2128;2270;2455;1599;1878
7;7;20;14;2;19
240;237;259;276;335;256
7;12;6;7;13;9
387;144;275;424;309;216
1;0;0;3;0;1
54;77;100;44;72;135
327;153;163;297;226;153
93;62;133;51;33;79
30;15;30;5;44;4
187;191;197;133;80;273
85;127;26;99;92;94
6;3;946;32;8;4
39;115;152;94;57;52
13;46;37;37;30;49
280;80;236;222;179;235
135;185;188;246;236;334
35;18;27;37;1;27
0;0;1;1;1;0
26;11;23;47;15;20
4;2;7;0;5;18
233;214;159;144;186;82
2059;1781;1752;2156;1369;1769
3;31;1;5;15;39
3656;2918;2887;3968;3313;2654
1;1;3;0;0;0
4;2;5;9;10;2
0;1;1;2;1;0
1;1;1;1;1;1
13;42;78;54;51;24
224;400;320;510;355;322
3;2;3;0;5;4
291;165;235;468;144;178
1;0;0;1;1;1
16;9;25;1;2;34
1674;1305;1598;1551;1277;1855
1522;1281;1261;2047;1080;1173
1364;1379;1047;1164;1205;1404
131;249;231;276;121;225
344;544;188;211;518;224
292;139;225;326;283;312
29;4;12;28;50;14
68;108;36;24;155;55
99;348;213;302;373;120
53;29;22;25;21;90
180;120;111;169;131;164
19;11;3;59;13;18
2;1;1;1;2;1
4067;2925;2748;3254;3221;3776
40;47;103;31;16;23
1;0;2;0;0;0
3;28;11;6;5;31
1;8;0;3;9;3
1;12;11;30;24;29
0;0;0;0;0;1
257;144;230;110;150;63
503;260;373;528;255;492
0;1;1;1;0;3
291;530;323;346;357;295
0;0;0;0;0;1
180;314;223;163;137;260
3;4;3;2;8;5
34;40;24;33;51;76
156;578;357;489;448;404
276;217;190;372;371;320
59;23;18;33;53;49
573;628;1036;564;626;869
4;0;4;527;5;4
131;45;47;97;77;94
0;1;1;1;1;0
10;32;39;5;31;18
7;1;28;19;19;25
2;1;6;2;2;2
0;2;1;3;1;0
112;112;220;82;57;98
195;175;177;117;54;180
27;36;33;9;30;22
608;911;675;593;498;396
1;7;4;0;0;0
2044;2335;2187;1983;2313;2319
0;0;0;10;0;11
413;380;337;390;367;402
2;4;1;2;3;1
1;0;0;2;1;0
6;5;2;1;3;3
17;63;112;41;80;67
1;1;0;1;1;3
127;40;26;29;12;91
13;32;35;2;52;17
0;2;5;2;0;39
4;0;0;0;0;0
31;79;45;50;61;47
32;7;2;0;17;18
0;24;0;27;40;72
1;1;4;6;9;0
18;44;5;36;41;42
6;0;1;1;1;0
3;5;2;4;5;1
23;10;10;25;165;78
519;577;710;812;500;622
0;4;1;7;3;4
76;4;0;3;0;0
287;337;187;277;340;213
87;165;180;190;89;106
786;497;1103;1231;1141;465
29;42;24;20;43;90
201;256;202;188;156;228
0;3;5;5;9;14
407;202;185;436;264;514
1;4;7;7;4;11
535;310;383;495;345;331
1;2;0;0;1;0
81;44;140;31;156;53
206;201;85;190;116;214
165;172;153;85;140;176
160;15;82;122;135;79
29;18;12;37;18;8
3;3;11;2;1;0
2;8;2;0;2;5
64;196;60;117;44;56
413;306;307;250;132;371
290;366;385;246;389;389
134;139;188;144;213;230
3610;4184;3686;2691;3158;3416
111;170;122;76;104;162
3;3;1;7;0;1
10;5;33;85;32;19
16;19;16;4;1;9
22;8;5;17;15;12
42;61;112;75;78;72
2;0;7;0;1;20
7;14;0;5;3;6
372;371;328;500;320;374
8;82;45;38;56;89
1;1;2;1;2;2
1;1;1;0;0;1
29;7;63;35;12;62
19;0;3;15;16;7
821;969;819;873;998;1312
5;28;0;1;10;26
2;1;3;7;9;4
144;49;34;38;133;18
1;0;0;1;0;1
124;200;158;190;326;232
356;208;444;230;341;292
6;17;14;14;14;19
61;103;81;30;18;4
1;1;0;3;0;0
49;1;36;16;83;48
86;27;86;39;72;38
7603;7229;6892;8698;7831;8266
546;1180;603;844;753;986
0;1;0;1;1;7
3;1;0;2;4;2
24;18;7;12;13;17
44;37;80;22;73;87
3;0;2;5;2;1
0;1;7;0;67;1
22;0;16;18;19;18
189;75;68;164;105;124
10;2;8;1;3;7
3176;2653;2711;3127;3336;3443
62;183;167;75;62;67
15;0;54;10;41;3
0;0;0;0;1;3
4;8;1;5;3;4
1;1;62;0;2;2
459;505;273;586;457;397
37;88;8;128;60;87
539;424;679;876;1002;685
148;29;72;161;160;69
35;13;4;48;46;17
263;526;486;323;492;518
4;3;1;2;1;2
6;2;1;1;2;2
22;5;3;8;12;4
533;324;495;374;350;256
16;16;33;22;25;47
65;44;26;65;49;30
2;2;1;2;2;1
1;1;1;1;1;0
23;19;16;28;14;15
6;25;5;37;0;26
37;15;58;23;22;33
2;22;3;5;0;0
11;19;10;11;21;9
10;1;14;52;56;2
253;168;151;105;187;107
234;90;137;115;147;104
1;2;1;2;1;3
1;8;11;4;0;6
16;51;7;31;16;27
62;63;231;171;78;144
11;7;16;9;10;28
0;3;0;1;15;3
84;58;58;76;34;21
1259;1517;915;667;848;967
5;4;20;6;9;6
2;1;1;1;1;1
4;14;32;47;18;74
1;1;0;0;1;0
2;9;7;7;4;4
1;0;1;1;0;1
100;72;78;151;65;110
39;21;56;11;39;47
0;0;0;0;0;3
7;1;1;6;4;11
83;123;94;111;84;130
375;425;359;520;507;551
6;41;43;17;42;21
553;871;478;1049;898;1587
450;452;314;437;518;438
2;11;3;2;5;3
0;0;0;0;0;0
6;7;4;4;4;5
1;1;1;1;0;1
0;1;0;0;0;1
346;261;197;121;217;153
19;48;25;292;7;53
1;0;0;2;0;3
0;1;1;1;0;1
33;123;25;83;66;46
165;118;84;105;132;151
3;1;4;1;2;1
80;124;193;213;230;153
4;26;0;1;47;15
0;1;1;1;1;0
2;2;1;1;2;2
1;1;0;1;1;1
1;20;3;11;1;27
131;63;85;130;206;51
660;587;567;530;614;1024
263;125;177;284;192;389
213;218;138;320;256;178
