voice day 1;voice day 2;voice day 3;voice day 4;voice day 5;voice day 6
1;1;1;1;1;0
1;3;3;2;3;3
338;408;492;307;626;542
13;0;12;54;88;46
32;26;23;73;72;26
3;2;1;2;5;0
3;9;6;2;10;2
2;3;1;2;4;3
37;15;37;8;6;3
112;337;127;281;333;230
328;262;379;487;480;377
664;613;684;605;439;653
279;9;36;141;18;63
26;4;25;12;19;5
1;1;1;1;1;1
187;199;163;315;171;395
195;70;128;60;140;133
4764;327;508;330;503;302
2;0;5;0;3;0
431;744;390;312;380;247
1573;1720;1870;1992;1521;1129
508;486;620;432;1060;586
4;0;0;1;1;2
74;100;58;142;51;128
3;2;3;3;7;3
244;320;341;155;214;188
273;268;373;269;222;254
3;2;0;2;3;2
61;1;49;26;30;16
996;841;1048;980;1173;1249
2;3;4;4;3;2
134;144;154;58;180;178
11;5;5;7;2;2
144;129;42;175;231;96
0;0;0;1;0;0
5;40;43;21;59;44
1;1;2;1;2;2
2;5;1;2;7;1
8;5;8;2;3;8
113;22;31;94;37;75
433;610;587;352;909;378
2;2;1;2;1;1
2;2;1;3;1;1
0;1;7;1;0;13
526;526;597;657;466;593
880;443;486;634;593;781
23;5;3;28;8;40
1;1;1;1;1;1
5;3;6;4;7;11
6;4;2;3;5;4
103;84;161;89;90;208
22;12;48;36;11;28
1;1;0;0;0;0
21;14;31;44;41;26
0;0;0;4;3;3
3;0;1;1;1;2
9;15;14;17;9;13
49;39;20;37;39;32
277;77;251;245;179;211
6;5;5;7;2;5
1;1;1;1;1;1
23;32;17;13;37;28
309;278;461;327;253;269
133;235;182;240;200;310
21;46;65;77;49;112
111;134;83;62;80;69
16;43;20;20;156;25
10;12;21;16;10;2
274;219;361;247;339;145
11;9;2;2;0;1
346;158;340;362;153;302
219;370;251;369;419;156
12;33;50;15;60;43
717;700;643;1079;895;480
171;292;195;132;208;162
9;5;9;6;6;7
0;4;1;2;3;2
28;5;3;9;8;25
42;11;7;0;15;13
7;2;2;5;1;2
19;26;16;23;47;38
59;31;58;59;84;31
0;15;8;11;4;4
0;1;0;6;14;0
967;851;1486;1214;956;1295
4;5;13;18;17;16
5;3;2;8;1;4
7;13;1049;15;13;16
252;281;210;149;201;284
33;114;31;30;80;19
24;43;24;1;21;47
3;1;1;1;1;5
1;4;1;11;0;8
129;115;19;53;37;116
15;36;13;20;5;11
33;43;36;51;42;46
291;560;784;178;816;497
625;642;797;1040;569;822
1;0;0;1;0;1
2;0;0;0;1;1
1;1;1;1;1;1
86;105;102;103;49;50
226;172;100;271;197;160
167;247;115;207;175;205
0;0;0;0;0;0
30;210;142;83;69;62
10;68;16;23;12;10
688;719;1217;905;702;733
8;9;21;19;27;16
42;27;23;26;8;7
15;24;21;50;16;3
3;2;5;13;4;26
15;10;24;0;21;24
127;98;124;174;112;172
6;3;1;0;3;5
1;1;1;1;1;1
2;7;2;3;2;1
12;1;5;7;13;2
58;182;60;30;34;56
1;1;5;3;2;0
3;2;7;7;3;2
3;19;1;2;2;0
1;1;1;1;1;1
191;282;263;321;162;319
641;506;294;574;347;671
14;7;14;3;11;6
1;0;3;0;1;0
203;426;338;244;377;421
124;89;141;85;123;144
38;202;0;5;5;14
655;1308;1070;1122;976;1171
66;29;50;56;102;32
2;2;2;2;2;2
1;3;14;0;0;3
294;277;218;386;227;185
65;78;91;11;25;20
0;0;0;0;50;2
19;15;35;28;31;14
0;0;5;0;6;0
2;1;7;3;3;6
394;290;338;190;418;326
47;69;20;30;55;108
118;113;3035;57;110;2714
15;1;0;0;9;1
1;1;1;1;1;1
456;1101;939;705;784;649
4;2;2;2;3;0
0;0;0;0;0;1
1;1;1;1;1;1
6;2;1;15;15;3
60;153;121;74;39;93
445;588;518;410;563;378
336;255;169;319;292;158
85;54;160;144;78;141
671;946;833;1266;889;819
11;8;17;20;6;4
2456;2213;2342;2451;2203;1774
6;20;4;4;5;5
84;45;31;10;25;31
6;8;19;12;2;10
209;315;365;104;156;194
341;316;391;411;334;249
97;42;71;139;20;64
246;150;222;171;97;94
41;101;112;39;80;65
3;3;2;3;2;2
164;126;71;259;45;233
53;116;100;54;111;74
13;6;11;5;11;19
0;0;1;0;0;2
41;49;8;20;20;42
1;1;1;1;1;1
51;32;35;25;9;9
0;1;1;1;0;0
231;93;123;109;72;125
150;43;61;47;62;102
943;994;1250;760;1115;801
54;19;10;91;52;42
19;30;33;29;36;39
78;22;53;32;76;50
1;1;1;1;1;1
1;1;1;1;1;3
172;115;139;182;136;41
91;46;129;73;49;55
1;1;1;1;1;1
613;523;885;531;376;627
16;11;20;27;6;5
41;24;94;37;22;30
136;132;122;152;162;128
353;571;389;622;530;791
22;0;9;2;5;10
6;4;4;1;4;3
2;0;8;0;17;1
9;12;619;18;12;27
1;0;0;1;1;0
3051;3317;3224;2859;3188;2998
0;0;6;0;0;0
67;129;49;74;67;38
44;132;32;76;31;25
92;37;67;126;115;137
1;5;2;2;3;0
1;1;1;2;1;2
79;83;35;128;66;110
329;284;208;470;156;449
1;2;3;6;4;1
21;86;30;74;26;31
0;1;0;0;2;0
17;25;15;10;6;11
29;19;2;0;1;1
392;194;192;189;65;169
65;44;94;81;136;47
9;26;30;33;21;18
184;276;107;173;177;302
712;513;388;582;370;517
780;1216;668;1010;693;322
400;416;373;708;510;590
3;15;17;7;19;8
171;115;292;192;108;84
13;8;14;7;3;5
0;17;10;1;25;59
9;7;6;1;15;9
1371;1182;1297;1157;1777;1536
274;269;235;456;481;395
45;41;86;130;69;94
59;14;40;27;34;47
4;31;5;4;5;17
28;87;74;42;59;43
2;1;4;2;2;2
12;13;13;1;28;25
3;1;0;1;1;9
18;18;18;38;20;27
135;103;118;65;122;75
1;1;1;0;2;0
85;126;51;93;57;103
10;1;2;11;0;6
94;104;198;175;226;217
0;3;66;0;0;3
15;22;8;5;21;12
34;33;14;39;31;90
1;8;6;6;4;8
116;254;244;227;342;376
3;1;3;7;3;5
5;19;26;63;46;26
711;447;713;685;896;640
30;106;113;58;88;128
13;47;50;29;4;32
17;2;0;7;3;10
56;109;89;173;88;33
4;7;0;4;4;26
193;148;99;216;265;142
52;108;76;77;87;41
1;2;0;0;1;1
207;118;270;196;386;409
330;259;150;363;445;473
1744;2213;2076;2630;2350;2242
193;145;88;84;267;219
1;1;1;1;1;1
4;7;7;12;7;8
5;0;3;0;7;7
2686;2047;2647;2565;2235;2703
66;85;16;93;41;37
37;3;27;30;23;26
5;9;48;4;0;22
1;1;1;1;1;1
134;230;31;160;166;123
50;26;36;23;45;25
1;2;0;4;3;2
17;3;12;7;1;6
1;1;1;1;1;1
4;3;2;3;4;2
54;61;86;62;56;14
5;10;3;1;1;15
10;7;13;4;16;18
23;24;12;6;28;10
381;688;768;782;370;512
54;101;76;45;22;47
167;205;183;252;246;159
41;35;29;13;33;49
5;27;14;15;6;7
1;3;2;1;2;3
0;1;1;0;1;1
359;13;199;25;317;59
0;0;6;1;0;0
548;508;220;464;394;199
25;15;24;14;23;7
2;1;1;2;2;1
11;24;15;13;14;15
378;255;238;522;146;189
4;4;2;3;7;6
0;0;1;1;1;0
0;0;6;9;1;0
1387;189;621;650;480;625
268;147;153;327;142;355
29;5;4;10;16;19
3;8;1;1;11;1
414;415;397;485;538;320
24;2;7;72;0;1
0;2;1;1;10;5
0;0;1;1;1;0
14;26;13;11;20;35
1772;1496;1423;1139;1268;1500
8;17;4;12;5;3
1;2;1;2;2;1
73;1;12;33;1;6
216;161;289;183;165;121
1;2;5;1;1;0
